city_name,year,month,pct_high_radiation
Bandarawela,2012,4,93.3
Bandarawela,2012,5,100.0
Bandarawela,2012,6,100.0
Bandarawela,2012,7,96.8
Bandarawela,2012,8,96.8
Bandarawela,2012,9,96.7
Bandarawela,2012,10,64.5
Bandarawela,2012,11,66.7
Bandarawela,2012,12,41.9
Bandarawela,2013,1,54.8
Bandarawela,2013,2,82.1
Bandarawela,2013,3,93.5
Bandarawela,2013,4,100.0
Bandarawela,2013,5,80.6
Bandarawela,2013,6,76.7
Bandarawela,2013,7,93.5
Bandarawela,2013,8,93.5
Bandarawela,2013,9,86.7
Bandarawela,2013,10,87.1
Bandarawela,2013,11,83.3
Bandarawela,2013,12,35.5
Bandarawela,2014,1,64.5
Bandarawela,2014,2,100.0
Bandarawela,2014,3,96.8
Bandarawela,2014,4,93.3
Bandarawela,2014,5,90.3
Bandarawela,2014,6,96.7
Bandarawela,2014,7,96.8
Bandarawela,2014,8,90.3
Bandarawela,2014,9,100.0
Bandarawela,2014,10,77.4
Bandarawela,2014,11,46.7
Bandarawela,2014,12,35.5
Bandarawela,2015,1,90.3
Bandarawela,2015,2,85.7
Bandarawela,2015,3,93.5
Bandarawela,2015,4,93.3
Bandarawela,2015,5,90.3
Bandarawela,2015,6,90.0
Bandarawela,2015,7,93.5
Bandarawela,2015,8,93.5
Bandarawela,2015,9,83.3
Bandarawela,2015,10,67.7
Bandarawela,2015,11,50.0
Bandarawela,2015,12,41.9
Bandarawela,2016,1,83.9
Bandarawela,2016,2,93.1
Bandarawela,2016,3,100.0
Bandarawela,2016,4,100.0
Bandarawela,2016,5,61.3
Bandarawela,2016,6,100.0
Bandarawela,2016,7,87.1
Bandarawela,2016,8,96.8
Bandarawela,2016,9,96.7
Bandarawela,2016,10,96.8
Bandarawela,2016,11,50.0
Bandarawela,2016,12,87.1
Bandarawela,2017,1,74.2
Bandarawela,2017,2,82.1
Bandarawela,2017,3,93.5
Bandarawela,2017,4,100.0
Bandarawela,2017,5,83.9
Bandarawela,2017,6,83.3
Bandarawela,2017,7,93.5
Bandarawela,2017,8,87.1
Bandarawela,2017,9,80.0
Bandarawela,2017,10,74.2
Bandarawela,2017,11,43.3
Bandarawela,2017,12,71.0
Bandarawela,2018,1,90.3
Bandarawela,2018,2,89.3
Bandarawela,2018,3,83.9
Bandarawela,2018,4,96.7
Bandarawela,2018,5,67.7
Bandarawela,2018,6,100.0
Bandarawela,2018,7,96.8
Bandarawela,2018,8,83.9
Bandarawela,2018,9,93.3
Bandarawela,2018,10,48.4
Bandarawela,2018,11,66.7
Bandarawela,2018,12,74.2
Bandarawela,2019,1,87.1
Bandarawela,2019,2,89.3
Bandarawela,2019,3,100.0
Bandarawela,2019,4,90.0
Bandarawela,2019,5,100.0
Bandarawela,2019,6,90.0
Bandarawela,2019,7,96.8
Bandarawela,2019,8,61.3
Bandarawela,2019,9,86.7
Bandarawela,2019,10,51.6
Bandarawela,2019,11,80.0
Bandarawela,2019,12,51.6
Bandarawela,2020,1,100.0
Bandarawela,2020,2,100.0
Bandarawela,2020,3,100.0
Bandarawela,2020,4,100.0
Bandarawela,2020,5,83.9
Bandarawela,2020,6,86.7
Bandarawela,2020,7,83.9
Bandarawela,2020,8,83.9
Bandarawela,2020,9,60.0
Bandarawela,2020,10,96.8
Bandarawela,2020,11,73.3
Bandarawela,2020,12,71.0
Bandarawela,2021,1,54.8
Bandarawela,2021,2,100.0
Bandarawela,2021,3,80.6
Bandarawela,2021,4,93.3
Bandarawela,2021,5,77.4
Bandarawela,2021,6,93.3
Bandarawela,2021,7,93.5
Bandarawela,2021,8,77.4
Bandarawela,2021,9,86.7
Bandarawela,2021,10,77.4
Bandarawela,2021,11,46.7
Bandarawela,2021,12,87.1
Bandarawela,2022,1,87.1
Bandarawela,2022,2,96.4
Bandarawela,2022,3,87.1
Bandarawela,2022,4,86.7
Bandarawela,2022,5,87.1
Bandarawela,2022,6,90.0
Bandarawela,2022,7,80.6
Bandarawela,2022,8,77.4
Bandarawela,2022,9,90.0
Bandarawela,2022,10,64.5
Bandarawela,2022,11,63.3
Bandarawela,2022,12,64.5
Bandarawela,2023,1,87.1
Bandarawela,2023,2,82.1
Bandarawela,2023,3,96.8
Bandarawela,2023,4,96.7
Bandarawela,2023,5,80.6
Bandarawela,2023,6,100.0
Bandarawela,2023,7,87.1
Bandarawela,2023,8,100.0
Bandarawela,2023,9,73.3
Bandarawela,2023,10,54.8
Bandarawela,2023,11,50.0
Bandarawela,2023,12,54.8
Bandarawela,2024,1,80.6
Bandarawela,2024,2,100.0
Bandarawela,2024,3,100.0
Bandarawela,2024,4,93.3
Bandarawela,2024,5,83.9
Bandarawela,2024,6,87.5
Batticaloa,2010,1,74.2
Batticaloa,2010,2,78.6
Batticaloa,2010,3,100.0
Batticaloa,2010,4,93.3
Batticaloa,2010,5,90.3
Batticaloa,2010,6,93.3
Batticaloa,2010,7,96.8
Batticaloa,2010,8,90.3
Batticaloa,2010,9,90.0
Batticaloa,2010,10,87.1
Batticaloa,2010,11,60.0
Batticaloa,2010,12,38.7
Batticaloa,2011,1,38.7
Batticaloa,2011,2,57.1
Batticaloa,2011,3,90.3
Batticaloa,2011,4,93.3
Batticaloa,2011,5,100.0
Batticaloa,2011,6,100.0
Batticaloa,2011,7,100.0
Batticaloa,2011,8,96.8
Batticaloa,2011,9,100.0
Batticaloa,2011,10,77.4
Batticaloa,2011,11,66.7
Batticaloa,2011,12,54.8
Batticaloa,2012,1,87.1
Batticaloa,2012,2,82.8
Batticaloa,2012,3,100.0
Batticaloa,2012,4,93.3
Batticaloa,2012,5,100.0
Batticaloa,2012,6,100.0
Batticaloa,2012,7,96.8
Batticaloa,2012,8,100.0
Batticaloa,2012,9,100.0
Batticaloa,2012,10,71.0
Batticaloa,2012,11,66.7
Batticaloa,2012,12,41.9
Batticaloa,2013,1,51.6
Batticaloa,2013,2,75.0
Batticaloa,2013,3,93.5
Batticaloa,2013,4,100.0
Batticaloa,2013,5,96.8
Batticaloa,2013,6,83.3
Batticaloa,2013,7,96.8
Batticaloa,2013,8,96.8
Batticaloa,2013,9,96.7
Batticaloa,2013,10,93.5
Batticaloa,2013,11,90.0
Batticaloa,2013,12,41.9
Batticaloa,2014,1,64.5
Batticaloa,2014,2,100.0
Batticaloa,2014,3,93.5
Batticaloa,2014,4,93.3
Batticaloa,2014,5,93.5
Batticaloa,2014,6,96.7
Batticaloa,2014,7,100.0
Batticaloa,2014,8,100.0
Batticaloa,2014,9,100.0
Batticaloa,2014,10,87.1
Batticaloa,2014,11,53.3
Batticaloa,2014,12,29.0
Batticaloa,2015,1,93.5
Batticaloa,2015,2,85.7
Batticaloa,2015,3,93.5
Batticaloa,2015,4,96.7
Batticaloa,2015,5,100.0
Batticaloa,2015,6,100.0
Batticaloa,2015,7,93.5
Batticaloa,2015,8,100.0
Batticaloa,2015,9,96.7
Batticaloa,2015,10,71.0
Batticaloa,2015,11,46.7
Batticaloa,2015,12,48.4
Batticaloa,2016,1,87.1
Batticaloa,2016,2,89.7
Batticaloa,2016,3,100.0
Batticaloa,2016,4,100.0
Batticaloa,2016,5,83.9
Batticaloa,2016,6,96.7
Batticaloa,2016,7,96.8
Batticaloa,2016,8,96.8
Batticaloa,2016,9,96.7
Batticaloa,2016,10,100.0
Batticaloa,2016,11,70.0
Batticaloa,2016,12,83.9
Batticaloa,2017,1,67.7
Batticaloa,2017,2,89.3
Batticaloa,2017,3,93.5
Batticaloa,2017,4,100.0
Batticaloa,2017,5,96.8
Batticaloa,2017,6,100.0
Batticaloa,2017,7,100.0
Batticaloa,2017,8,87.1
Batticaloa,2017,9,93.3
Batticaloa,2017,10,93.5
Batticaloa,2017,11,50.0
Batticaloa,2017,12,74.2
Batticaloa,2018,1,64.5
Batticaloa,2018,2,82.1
Batticaloa,2018,3,83.9
Batticaloa,2018,4,96.7
Batticaloa,2018,5,93.5
Batticaloa,2018,6,100.0
Batticaloa,2018,7,100.0
Batticaloa,2018,8,93.5
Batticaloa,2018,9,100.0
Batticaloa,2018,10,77.4
Batticaloa,2018,11,60.0
Batticaloa,2018,12,58.1
Batticaloa,2019,1,83.9
Batticaloa,2019,2,89.3
Batticaloa,2019,3,100.0
Batticaloa,2019,4,96.7
Batticaloa,2019,5,96.8
Batticaloa,2019,6,100.0
Batticaloa,2019,7,96.8
Batticaloa,2019,8,96.8
Batticaloa,2019,9,90.0
Batticaloa,2019,10,77.4
Batticaloa,2019,11,73.3
Batticaloa,2019,12,48.4
Batticaloa,2020,1,93.5
Batticaloa,2020,2,100.0
Batticaloa,2020,3,100.0
Batticaloa,2020,4,100.0
Batticaloa,2020,5,93.5
Batticaloa,2020,6,83.3
Batticaloa,2020,7,93.5
Batticaloa,2020,8,93.5
Batticaloa,2020,9,86.7
Batticaloa,2020,10,100.0
Batticaloa,2020,11,66.7
Batticaloa,2020,12,54.8
Batticaloa,2021,1,58.1
Batticaloa,2021,2,85.7
Batticaloa,2021,3,87.1
Batticaloa,2021,4,100.0
Batticaloa,2021,5,96.8
Batticaloa,2021,6,96.7
Batticaloa,2021,7,93.5
Batticaloa,2021,8,87.1
Batticaloa,2021,9,90.0
Batticaloa,2021,10,87.1
Batticaloa,2021,11,70.0
Batticaloa,2021,12,80.6
Batticaloa,2022,1,74.2
Batticaloa,2022,2,85.7
Batticaloa,2022,3,87.1
Batticaloa,2022,4,100.0
Batticaloa,2022,5,96.8
Batticaloa,2022,6,93.3
Batticaloa,2022,7,83.9
Batticaloa,2022,8,96.8
Batticaloa,2022,9,96.7
Batticaloa,2022,10,87.1
Batticaloa,2022,11,70.0
Batticaloa,2022,12,64.5
Batticaloa,2023,1,80.6
Batticaloa,2023,2,85.7
Batticaloa,2023,3,90.3
Batticaloa,2023,4,100.0
Batticaloa,2023,5,90.3
Batticaloa,2023,6,100.0
Batticaloa,2023,7,93.5
Batticaloa,2023,8,100.0
Batticaloa,2023,9,96.7
Batticaloa,2023,10,93.5
Batticaloa,2023,11,70.0
Batticaloa,2023,12,64.5
Batticaloa,2024,1,77.4
Batticaloa,2024,2,100.0
Batticaloa,2024,3,100.0
Batticaloa,2024,4,96.7
Batticaloa,2024,5,93.5
Batticaloa,2024,6,100.0
Colombo,2010,1,93.5
Colombo,2010,2,89.3
Colombo,2010,3,100.0
Colombo,2010,4,90.0
Colombo,2010,5,51.6
Colombo,2010,6,66.7
Colombo,2010,7,74.2
Colombo,2010,8,64.5
Colombo,2010,9,53.3
Colombo,2010,10,74.2
Colombo,2010,11,56.7
Colombo,2010,12,35.5
Colombo,2011,1,48.4
Colombo,2011,2,67.9
Colombo,2011,3,100.0
Colombo,2011,4,80.0
Colombo,2011,5,87.1
Colombo,2011,6,83.3
Colombo,2011,7,77.4
Colombo,2011,8,77.4
Colombo,2011,9,80.0
Colombo,2011,10,80.6
Colombo,2011,11,60.0
Colombo,2011,12,67.7
Colombo,2012,1,96.8
Colombo,2012,2,89.7
Colombo,2012,3,100.0
Colombo,2012,4,90.0
Colombo,2012,5,87.1
Colombo,2012,6,70.0
Colombo,2012,7,77.4
Colombo,2012,8,83.9
Colombo,2012,9,73.3
Colombo,2012,10,64.5
Colombo,2012,11,63.3
Colombo,2012,12,51.6
Colombo,2013,1,74.2
Colombo,2013,2,89.3
