precipitation_hours,sunshine_duration,wind_speed_10m_max,et0_fao_evapotranspiration,prediction,residual
23,28723.86,17.7,3.2,3.02,0.18
22,8536.23,16.1,1.91,2.04,-0.13
24,8283.39,14.1,2.23,1.94,0.29
24,31812.49,15.9,2.61,3.03,-0.42
23,32448.72,18.1,2.73,3.07,-0.34
24,23086.68,21.1,2.6,2.63,-0.03
24,40164.3,20.0,3.12,3.37,-0.25
19,40165.15,23.8,3.95,3.87,0.08
19,34103.2,29.1,3.88,3.74,0.14
22,11399.53,23.2,2.22,2.13,0.09
24,30465.07,24.1,2.68,2.89,-0.21
15,38068.21,13.9,3.93,3.58,0.35
14,36247.12,12.7,3.73,3.67,0.06
9,26991.99,14.3,3.81,3.28,0.53
8,28502.09,14.0,3.43,3.53,-0.1
16,28800.0,14.2,3.08,3.18,-0.1
7,25448.2,16.6,2.87,3.3,-0.43
9,30187.03,15.7,3.47,3.58,-0.11
13,21161.39,17.7,2.89,3.1,-0.21
18,17095.03,20.2,2.61,2.6,0.01
22,28230.76,15.5,3.5,2.96,0.54
9,32655.86,13.2,3.38,3.86,-0.48
18,23025.74,14.7,2.78,2.87,-0.09
14,28688.55,13.6,3.09,3.17,-0.08
17,20920.28,13.7,2.79,2.83,-0.04
10,26390.53,11.8,3.29,3.33,-0.04
18,31468.74,13.9,3.01,3.12,-0.11
19,1827.2,16.8,1.59,1.48,0.11
24,7179.1,14.8,1.86,1.5,0.36
18,35595.4,13.7,3.71,3.41,0.3
24,12757.62,15.9,2.24,2.11,0.13
21,6280.93,19.0,1.42,1.53,-0.11
21,23212.28,15.6,2.68,2.79,-0.11
24,31025.83,18.5,2.93,2.9,0.03
24,865.7,18.3,1.36,1.6,-0.24
21,5195.32,21.7,1.7,1.48,0.22
24,17244.72,23.5,2.13,2.37,-0.24
24,26159.99,24.1,2.98,2.75,0.23
20,28573.16,25.5,3.7,3.14,0.56
13,40165.12,25.4,4.64,4.52,0.12
8,40739.79,25.8,4.86,4.65,0.21
16,39363.61,23.8,4.13,3.89,0.24
19,32765.16,22.2,3.74,3.22,0.52
22,32400.0,20.9,3.59,3.27,0.32
24,4136.78,20.6,2.24,1.55,0.69
11,29371.84,16.4,3.78,3.46,0.32
3,39105.59,16.7,4.68,4.54,0.14
0,40367.87,16.8,4.89,5.14,-0.25
7,40261.98,18.5,4.82,4.34,0.48
5,39726.86,19.1,5.54,4.64,0.9
7,36953.42,17.3,4.62,3.98,0.64
10,39399.27,20.9,4.57,3.93,0.64
13,40481.57,19.5,4.62,4.21,0.41
22,36564.27,15.3,3.5,3.34,0.16
12,40050.84,16.1,3.87,4.14,-0.27
15,37013.61,14.0,2.99,3.61,-0.62
13,40378.48,19.3,4.63,4.23,0.4
23,37517.62,16.1,3.4,3.34,0.06
19,39942.48,15.5,3.69,3.63,0.06
23,37367.05,17.3,3.41,3.34,0.07
17,37727.26,18.5,3.75,3.49,0.26
12,40060.1,15.5,4.36,4.11,0.25
17,39600.0,18.5,4.25,3.78,0.47
15,22406.02,20.0,3.42,2.88,0.54
21,30218.67,23.8,3.61,3.19,0.42
20,29531.58,17.3,3.05,3.06,-0.01
18,34160.84,21.3,3.67,3.44,0.23
13,37486.0,18.7,4.2,3.73,0.47
19,39130.95,15.2,3.96,3.53,0.43
17,34361.92,13.3,3.55,3.46,0.09
19,21844.11,18.8,3.02,2.73,0.29
22,39320.97,18.8,3.87,3.6,0.27
19,36458.09,17.4,3.37,3.28,0.09
12,39600.0,13.6,4.16,3.91,0.25
12,40364.42,14.4,4.27,4.06,0.21
11,40045.99,12.3,4.31,4.18,0.13
13,38988.42,13.3,3.32,3.94,-0.62
11,36340.52,15.4,4.03,3.69,0.34
18,25882.59,18.4,3.18,2.89,0.29
18,38717.51,16.9,4.18,3.66,0.52
12,34817.89,18.1,3.86,3.55,0.31
11,27251.05,14.0,3.16,3.18,-0.02
18,28780.61,12.7,3.38,3.4,-0.02
14,26119.4,14.1,2.84,3.12,-0.28
15,33309.71,10.4,3.73,3.53,0.2
11,28989.94,14.4,3.32,3.39,-0.07
11,38019.33,13.0,4.19,3.8,0.39
24,24372.12,16.1,2.56,2.76,-0.2
17,16975.96,22.4,3.23,2.63,0.6
17,12335.02,20.8,2.91,2.36,0.55
19,2320.66,27.0,2.18,1.74,0.44
15,791.19,27.8,2.86,2.49,0.37
22,39796.71,24.9,4.43,4.03,0.4
19,22538.87,19.2,2.25,2.75,-0.5
22,31445.31,22.9,2.96,3.17,-0.21
21,40164.3,18.7,3.77,3.83,-0.06
23,28292.89,14.9,2.56,2.78,-0.22
19,25840.44,16.7,2.73,2.85,-0.12
20,29690.86,14.0,3.15,3.0,0.15
24,16093.92,19.5,2.39,2.42,-0.03
24,34813.01,21.0,3.02,3.19,-0.17
23,19449.19,24.3,2.94,2.6,0.34
15,40280.12,20.9,4.09,4.03,0.06
16,40396.2,19.4,4.33,4.15,0.18
12,39600.0,14.8,3.93,3.95,-0.02
11,35170.5,10.5,4.1,3.74,0.36
18,36442.9,13.3,4.02,3.61,0.41
16,23673.4,15.5,3.19,2.86,0.33
8,38932.89,13.0,4.29,3.96,0.33
10,30019.78,12.0,3.73,3.67,0.06
11,30809.06,10.6,3.82,3.61,0.21
12,32400.0,12.5,4.0,3.57,0.43
5,31904.13,12.5,4.18,3.89,0.29
10,31495.15,15.8,3.7,3.64,0.06
13,37418.64,16.6,3.92,3.7,0.22
24,28611.75,16.9,3.04,2.95,0.09
22,3806.74,17.9,2.29,1.5,0.79
24,25301.26,21.3,3.46,2.76,0.7
10,186.65,19.5,2.05,1.82,0.23
14,7891.98,13.6,1.65,2.22,-0.57
5,40161.88,14.0,4.76,4.56,0.2
10,39942.05,12.4,4.54,4.08,0.46
21,38181.75,14.2,3.61,3.35,0.26
24,25886.0,16.8,3.12,2.75,0.37
24,30516.79,18.7,2.56,2.9,-0.34
24,26429.91,20.1,3.4,2.84,0.56
24,25529.64,18.8,2.99,2.74,0.25
24,11110.38,22.8,2.31,2.06,0.25
23,2221.72,33.5,2.27,2.19,0.08
17,22085.58,31.8,3.46,3.27,0.19
15,39140.12,32.8,3.94,4.53,-0.59
14,39936.87,25.5,4.5,4.4,0.1
15,39149.37,24.5,3.91,3.88,0.03
18,40395.19,24.1,4.46,4.26,0.2
24,39777.82,22.3,3.91,3.68,0.23
21,23337.8,21.1,3.7,2.89,0.81
20,37855.14,18.1,4.04,3.32,0.72
10,36283.91,17.0,4.16,3.78,0.38
7,39443.77,16.8,4.27,4.35,-0.08
17,36107.59,14.8,3.58,3.52,0.06
14,33232.09,16.6,3.67,3.37,0.3
13,40155.18,22.7,4.92,4.24,0.68
12,30816.79,23.8,4.59,3.54,1.05
17,34733.97,20.2,3.69,3.35,0.34
20,35300.57,26.7,4.36,3.85,0.51
13,40266.01,28.9,5.09,4.65,0.44
23,22132.23,19.7,2.74,2.65,0.09
24,17738.54,25.7,2.46,2.28,0.18
24,1630.31,28.0,1.8,1.55,0.25
24,22995.2,20.3,2.9,2.65,0.25
22,34118.12,24.6,3.79,3.38,0.41
22,36532.25,28.5,3.78,3.81,-0.03
