precipitation_hours,sunshine_duration,wind_speed_10m_max,et0_fao_evapotranspiration,prediction,residual
19,10309.67,23.1,2.23,2.24,-0.01
16,12813.57,6.4,2.29,2.25,0.04
15,8374.2,14.3,1.91,2.25,-0.34
18,13971.68,16.5,2.62,2.25,0.37
15,11291.12,15.9,2.3,2.25,0.05
15,7490.92,16.1,2.11,2.25,-0.14
19,15568.88,11.8,2.67,2.26,0.41
19,14400.0,11.7,2.53,2.26,0.27
22,10576.51,24.6,1.77,2.26,-0.49
22,10002.97,24.5,2.26,2.26,0.0
16,9056.3,17.3,2.07,2.26,-0.19
18,13700.34,19.9,1.88,2.26,-0.38
16,15629.15,18.3,2.03,2.26,-0.23
19,7195.47,12.5,2.64,2.26,0.38
23,7391.59,23.7,2.2,2.27,-0.07
15,10147.09,15.5,2.38,2.27,0.11
12,4971.22,7.5,2.27,2.27,0.0
17,11705.04,17.1,1.83,2.27,-0.44
17,15267.08,16.8,2.69,2.27,0.42
24,17738.54,25.7,2.46,2.28,0.18
17,12154.82,14.0,2.13,2.28,-0.15
24,20594.51,25.8,2.4,2.28,0.12
17,10038.83,10.2,2.53,2.28,0.25
24,19283.09,26.0,2.45,2.28,0.17
24,18000.0,25.4,1.95,2.28,-0.33
17,10490.07,13.9,1.99,2.28,-0.29
17,10582.03,13.9,1.96,2.28,-0.32
17,12032.97,15.2,2.68,2.28,0.4
17,12331.9,20.3,2.51,2.28,0.23
17,14570.4,10.0,2.83,2.28,0.55
24,15875.97,25.6,2.16,2.28,-0.12
17,7899.72,11.5,2.0,2.28,-0.28
15,8821.88,19.7,2.25,2.28,-0.03
24,19995.58,25.4,2.95,2.28,0.67
14,12187.89,14.8,2.15,2.29,-0.14
18,15015.73,12.1,2.27,2.29,-0.02
17,14668.49,13.2,2.62,2.29,0.33
18,11589.91,14.6,2.34,2.29,0.05
18,14965.1,16.7,2.93,2.29,0.64
14,12241.93,14.8,2.13,2.29,-0.16
18,15018.88,12.1,2.27,2.29,-0.02
14,10187.58,14.8,1.47,2.29,-0.82
12,13823.67,16.6,2.18,2.29,-0.11
18,14816.89,15.6,2.55,2.29,0.26
18,14733.97,15.6,2.49,2.29,0.2
12,14256.99,16.3,2.47,2.29,0.18
17,9662.51,13.1,2.03,2.29,-0.26
15,13937.59,12.7,2.58,2.29,0.29
15,11322.57,11.1,2.04,2.29,-0.25
18,10563.2,12.7,2.36,2.3,0.06
24,15659.01,29.3,2.89,2.3,0.59
24,15689.25,28.5,3.0,2.3,0.7
10,1902.28,23.0,2.17,2.3,-0.13
13,2515.13,22.8,2.41,2.3,0.11
24,14428.09,28.2,2.29,2.3,-0.01
14,11397.33,14.0,2.68,2.31,0.37
14,7891.98,13.6,1.65,2.31,-0.66
18,14400.0,13.0,2.91,2.31,0.6
14,11403.71,14.0,2.63,2.31,0.32
17,14758.88,12.0,2.74,2.31,0.43
14,11558.82,13.8,2.58,2.31,0.27
16,15601.95,13.0,2.63,2.31,0.32
14,9568.21,14.3,2.32,2.31,0.01
17,11509.97,12.2,2.56,2.31,0.25
14,10936.31,14.0,2.13,2.31,-0.18
14,13019.59,18.3,1.75,2.32,-0.57
12,7200.0,15.6,2.15,2.32,-0.17
20,13597.65,23.4,2.18,2.32,-0.14
16,7636.37,12.7,2.1,2.32,-0.22
12,14509.0,15.3,2.39,2.33,0.06
14,12571.79,17.6,2.49,2.33,0.16
23,2346.14,37.2,2.5,2.33,0.17
12,11899.49,18.0,2.08,2.33,-0.25
22,11399.53,23.2,2.22,2.34,-0.12
17,12335.02,20.8,2.91,2.34,0.57
16,12982.96,11.9,2.61,2.34,0.27
16,15098.53,11.3,2.46,2.34,0.12
14,14937.69,13.4,2.75,2.35,0.4
18,13071.65,23.0,2.66,2.35,0.31
14,13425.74,20.1,2.28,2.36,-0.08
15,10750.94,22.1,2.35,2.36,-0.01
14,10249.43,7.6,2.09,2.36,-0.27
14,8128.03,6.4,2.03,2.37,-0.34
24,19920.34,25.2,2.13,2.37,-0.24
14,10722.42,5.2,2.49,2.37,0.12
14,8957.19,5.5,2.29,2.37,-0.08
12,12574.05,19.2,2.25,2.38,-0.13
13,12049.62,14.4,2.15,2.38,-0.23
13,8840.99,14.3,2.24,2.38,-0.14
11,10166.7,15.3,2.37,2.38,-0.01
14,10606.22,11.6,2.52,2.38,0.14
12,12130.5,13.1,1.83,2.38,-0.55
10,11101.48,15.1,2.31,2.39,-0.08
24,18494.55,21.8,2.6,2.39,0.21
10,7483.34,15.2,1.94,2.39,-0.45
24,18380.03,22.1,2.16,2.39,-0.23
12,11429.8,11.9,1.74,2.4,-0.66
11,11412.13,16.6,2.78,2.4,0.38
14,10900.11,20.8,2.01,2.4,-0.39
9,13531.02,14.1,2.19,2.41,-0.22
9,7275.84,14.5,2.5,2.41,0.09
24,17053.21,16.0,2.33,2.41,-0.08
24,17244.72,23.5,2.13,2.42,-0.29
24,20395.31,22.8,2.44,2.42,0.02
8,796.31,14.1,2.25,2.42,-0.17
24,19918.04,23.5,1.63,2.42,-0.79
24,18631.76,22.6,1.78,2.42,-0.64
24,17569.67,23.5,2.49,2.42,0.07
24,18607.64,23.7,2.69,2.42,0.27
24,17954.57,22.4,2.79,2.42,0.37
